ANO4,PONDERA,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CAT_OCUP,PP07H,P21,PP04A,PP04C
2005,1089.0,2.0,18.0,5.0,4.0,4.0,3.0,4.0,253.33333333333334,0.0,0.0,0.0,,
2005,1152.0,1.0,39.0,1.0,4.0,4.0,1.0,0.0,1350.0,3.0,2.0,1200.0,2.0,
2005,1152.0,2.0,37.0,1.0,1.0,4.0,1.0,0.0,1350.0,3.0,1.0,1500.0,2.0,11.0
2005,1055.0,2.0,23.0,5.0,1.0,6.0,1.0,0.0,2250.0,3.0,1.0,2000.0,1.0,12.0
2005,1452.0,1.0,44.0,1.0,1.0,6.0,1.0,0.0,700.0,3.0,1.0,1000.0,1.0,
2005,1452.0,2.0,39.0,1.0,2.0,6.0,1.0,0.0,700.0,3.0,1.0,0.0,1.0,10.0
2005,1452.0,2.0,7.0,5.0,2.0,1.0,4.0,3.0,700.0,0.0,0.0,0.0,,
2005,1452.0,1.0,2.0,5.0,2.0,7.0,4.0,5.0,700.0,0.0,0.0,0.0,,
2005,908.0,2.0,25.0,1.0,2.0,5.0,1.0,0.0,400.0,2.0,0.0,150.0,2.0,2.0
2005,908.0,1.0,27.0,1.0,4.0,4.0,1.0,0.0,400.0,2.0,0.0,150.0,2.0,2.0
2005,1401.0,1.0,67.0,4.0,1.0,2.0,3.0,1.0,428.0,0.0,0.0,0.0,,
2005,1187.0,1.0,48.0,3.0,2.0,6.0,1.0,0.0,3000.0,1.0,0.0,3000.0,2.0,6.0
2005,1576.0,1.0,37.0,1.0,2.0,4.0,1.0,0.0,1333.3333333333333,1.0,0.0,4000.0,2.0,7.0
2005,1576.0,2.0,25.0,1.0,2.0,5.0,3.0,4.0,1333.3333333333333,0.0,0.0,0.0,,
2005,1576.0,2.0,4.0,5.0,2.0,7.0,4.0,5.0,1333.3333333333333,0.0,0.0,0.0,,
2005,1391.0,2.0,73.0,4.0,1.0,4.0,3.0,1.0,1476.0,0.0,0.0,0.0,,
2005,1448.0,1.0,32.0,2.0,1.0,4.0,1.0,0.0,700.0,2.0,0.0,2000.0,2.0,1.0
2005,1448.0,2.0,34.0,2.0,1.0,3.0,3.0,4.0,700.0,0.0,0.0,0.0,,
2005,1448.0,1.0,6.0,5.0,1.0,7.0,4.0,3.0,700.0,0.0,0.0,0.0,,
2005,1448.0,1.0,66.0,3.0,4.0,5.0,1.0,0.0,700.0,2.0,0.0,1500.0,2.0,3.0
2005,1448.0,2.0,,5.0,1.0,7.0,4.0,5.0,700.0,0.0,0.0,0.0,,
2005,1116.0,2.0,86.0,4.0,12.0,4.0,3.0,1.0,533.3333333333334,0.0,0.0,0.0,,
2005,1116.0,1.0,29.0,5.0,1.0,6.0,1.0,0.0,533.3333333333334,3.0,2.0,0.0,2.0,12.0
2005,1116.0,2.0,20.0,5.0,1.0,5.0,2.0,0.0,533.3333333333334,0.0,0.0,0.0,,
2005,1304.0,1.0,71.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,
